Industry,2022 NAICS code,Dec. 2024,Aug. 2025,Sept. 2025,Oct. 2025,Nov. 2025 (p),Dec. 2025 (p),Change from: Nov.2025 - Dec.2025(p)
Basic chemical manufacturing,3251,156.7,154,152.9,152.6,151.6,-,-
"Petrochemical, industrial gas, synthetic dye, pigment, and other basic inorganic chemical manufacturing","32511,2,3,8",98.5,97.3,96.3,96.4,95.8,-,-
Other basic organic chemical manufacturing,32519,58.2,56.7,56.6,56.2,55.8,-,-
"Resin, synthetic rubber, and artificial and synthetic fibers and filaments manufacturing",3252,94.5,95.9,96.1,96.6,96.4,-,-
Plastics material and resin manufacturing,325211,61.2,62.5,63,63.1,63,-,-
"Pesticide, fertilizer, and other agricultural chemical manufacturing",3253,38.4,39.4,39.2,40,40.7,-,-
Pharmaceutical and medicine manufacturing,3254,352.1,358.4,355.8,355.3,354.5,-,-
Pharmaceutical preparation manufacturing,325412,231.7,235.4,233.5,233,232.5,-,-
"Medicinal, botanical, in-vitro diagnostic substance, and biological product manufacturing","325411,3,4",120.4,123,122.3,122.3,122,-,-
"Paint, coating, and adhesive manufacturing",3255,65.5,65.8,66.5,69,70.4,-,-
"Soap, cleaning compound, and toilet preparation manufacturing",3256,113.9,113.2,112.6,112.3,113.5,-,-
Soap and cleaning compound manufacturing,32561,57.9,58,58.2,58.2,58.9,-,-
Toilet preparation manufacturing,32562,56,55.2,54.4,54.1,54.6,-,-
Other chemical product and preparation manufacturing,3259,80.9,81.6,80.9,80.6,80,-,-
Plastics and rubber products manufacturing,326,720.3,718.6,710.8,713.6,713.4,710.8,-2.6
Plastics product manufacturing,3261,588.6,591.8,585.2,588.1,587.9,-,-
Plastics packaging materials and unlaminated film and sheet manufacturing,32611,103.7,105.6,105.4,106.3,106.3,-,-
"Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing",32612,52.2,51.3,50.6,51.5,51.4,-,-
"Polystyrene, urethane, and other foam product manufacturing","32614,5",66.2,65.5,64.6,64.9,64.3,-,-
"Laminated plastics plate, sheet (except packaging), shape, and plastics bottle manufacturing","32613,6",56.2,58.6,58.5,57.4,58,-,-
Other plastics product manufacturing,32619,310.3,310.8,306.1,308,307.9,-,-
Rubber product manufacturing,3262,131.7,126.8,125.6,125.5,125.5,-,-
Tire manufacturing,32621,55.3,53.5,52.9,53.4,53.3,-,-
"Rubber and plastics hoses, belting, and other rubber product manufacturing","32622,9",76.4,73.3,72.7,72.1,72.2,-,-
"Beverage, tobacco, and leather and allied product manufacturing","312,6",366.3,382.4,382.8,381.7,377.4,372.9,-4.5
Beverage manufacturing,3121,329.1,346.4,346.5,345.2,340.4,-,-
Soft drinks and ice,31211,109.4,111.9,111.3,109.7,108.5,-,-
Soft drinks,312111,82.7,84.1,83.8,83.3,82.6,-,-
"Breweries, wineries, and distilleries","31212,3,4",219.7,234.5,235.2,235.5,231.9,-,-
Other miscellaneous nondurable goods manufacturing,"3122,60",37.2,36,36.3,36.5,37,-,-
,,,,,,,,
Service-providing,,138295,137517,137949,138614,138947,138900,-47
,,,,,,,,
Private service-providing,,114452,114813,114362,114907,115135,115214,79
,,,,,,,,
"Trade, transportation, and utilities",,29799,28947,28931,29103,29452,29707,255
,,,,,,,,
Wholesale trade,42,6202.4,6170.4,6158.9,6173.4,6171.1,6183.8,12.7
"Merchant wholesalers, durable goods",423,3472.1,3460.5,3452.4,3461.9,3460.6,3470.2,9.6
Motor vehicle and motor vehicle parts and supplies merchant wholesalers,4231,384.6,382.8,382.7,383.6,384.4,-,-
Automobile and other motor vehicle merchant wholesalers,42311,142.3,141.1,140.8,140.4,141.4,-,-
Motor vehicle supplies and new parts merchant wholesalers,42312,181.4,178.2,178.4,178.9,178.5,-,-
Furniture and home furnishing merchant wholesalers,4232,111.3,106.6,106.2,104.6,104,-,-
Furniture merchant wholesalers,42321,51.4,51.5,51.5,50,49.8,-,-
Home furnishing merchant wholesalers,42322,59.9,55.1,54.7,54.6,54.2,-,-
Lumber and other construction materials merchant wholesalers,4233,267.4,270.1,263.9,265.6,264.9,-,-
"Lumber, plywood, millwork, and wood panel merchant wholesalers",42331,115.1,116.2,114,114.8,114.9,-,-
"Brick, stone, and related construction material merchant wholesalers",42332,66.6,66.1,64.8,63.4,62.6,-,-
"Roofing, siding, insulation, and other construction material merchant wholesalers","42333,9",85.7,87.8,85.1,87.4,87.4,-,-
Professional and commercial equipment and supplies merchant wholesalers,4234,762.9,760.7,761,758.2,758.3,-,-
Office equipment merchant wholesalers,42342,66.8,67.4,67.1,66.9,66.6,-,-
Computer and computer peripheral equipment and software merchant wholesalers,42343,237.1,235.5,239.1,232.6,232.9,-,-
"Medical, dental, and hospital equipment and supplies merchant wholesalers",42345,325.4,325.6,324.3,327.4,327.1,-,-
"Ophthalmic goods and photographic, commercial, and professional equipment and supplies merchant wholesalers","42341,4,6,9",133.6,132.2,130.5,131.3,131.7,-,-
Metal and mineral (except petroleum) merchant wholesalers,4235,142.1,144.6,144.8,144.4,144.5,-,-
Household appliances and electrical and electronic goods merchant wholesalers,4236,380.4,370.5,368.2,371.1,371.6,-,-
